transaction_id,account_id,vendor_id,cost_center,amount,posting_date,is_weekend,analyst_label
TXN-001,ACC-1001,VND-101,CC-FIN-001,1250.00,2025-01-15,0,0
TXN-002,ACC-1001,VND-101,CC-FIN-001,1300.00,2025-01-16,0,0
TXN-003,ACC-1001,VND-101,CC-FIN-001,1275.50,2025-01-17,0,0
TXN-004,ACC-1001,VND-102,CC-FIN-001,45000.00,2025-01-18,0,1
TXN-005,ACC-1002,VND-201,CC-OPS-002,890.00,2025-01-15,0,0
TXN-006,ACC-1002,VND-201,CC-OPS-002,910.00,2025-01-16,0,0
TXN-007,ACC-1002,VND-201,CC-OPS-002,905.00,2025-01-17,0,0
TXN-008,ACC-1002,VND-201,CC-OPS-002,890.00,2025-01-18,0,0
TXN-009,ACC-1002,VND-201,CC-OPS-002,890.00,2025-01-19,1,0
TXN-010,ACC-1003,VND-301,CC-IT-004,5200.00,2025-01-20,0,0
TXN-011,ACC-1003,VND-301,CC-IT-004,98000.00,2025-01-21,0,1
TXN-012,ACC-1003,VND-301,CC-IT-004,5150.00,2025-01-22,0,0
TXN-013,ACC-1001,VND-101,CC-FIN-001,1250.00,2025-01-23,0,0
TXN-014,ACC-1001,VND-101,CC-FIN-001,1250.00,2025-01-23,0,1
TXN-015,ACC-1004,VND-401,CC-HR-003,320.00,2025-01-24,0,0
TXN-016,ACC-1004,VND-401,CC-HR-003,315.00,2025-01-25,1,0
TXN-017,ACC-1004,VND-401,CC-HR-003,325.00,2025-01-26,1,0
TXN-018,ACC-1005,VND-501,CC-FIN-001,15000.00,2025-01-27,0,0
TXN-019,ACC-1005,VND-501,CC-FIN-001,75000.00,2025-01-28,0,1
TXN-020,ACC-1005,VND-502,CC-FIN-009,15000.00,2025-01-29,0,1
TXN-021,ACC-1001,VND-101,CC-FIN-001,1280.00,2025-02-01,0,0
TXN-022,ACC-1002,VND-201,CC-OPS-002,900.00,2025-02-02,1,0
TXN-023,ACC-1003,VND-301,CC-IT-004,5100.00,2025-02-03,0,0
TXN-024,ACC-1003,VND-301,CC-WRONG,5100.00,2025-02-04,0,1
TXN-025,ACC-1006,VND-601,CC-OPS-002,2200.00,2025-02-05,0,0
TXN-026,ACC-1006,VND-601,CC-OPS-002,2250.00,2025-02-06,0,0
TXN-027,ACC-1006,VND-601,CC-OPS-002,2200.00,2025-02-07,0,0
TXN-028,ACC-1006,VND-601,CC-OPS-002,2200.00,2025-02-08,1,0
TXN-029,ACC-1006,VND-601,CC-OPS-002,2200.00,2025-02-08,1,0
TXN-030,ACC-1007,VND-701,CC-FIN-001,500.00,2025-02-09,1,0
TXN-031,ACC-1007,VND-701,CC-FIN-001,500.00,2025-02-09,1,1
TXN-032,ACC-1007,VND-701,CC-FIN-001,500.00,2025-02-09,1,1
TXN-033,ACC-1008,VND-801,CC-IT-004,12000.00,2025-02-10,0,0
TXN-034,ACC-1008,VND-801,CC-IT-004,12100.00,2025-02-11,0,0
TXN-035,ACC-1008,VND-801,CC-IT-004,500000.00,2025-02-12,0,1
TXN-036,ACC-1009,VND-901,CC-OPS-002,1500.00,2025-02-13,0,0
TXN-037,ACC-1009,VND-901,CC-OPS-002,1520.00,2025-02-14,0,0
TXN-038,ACC-1009,VND-901,CC-OPS-002,1510.00,2025-02-15,1,0
TXN-039,ACC-1010,VND-1001,CC-HR-003,800.00,2025-02-16,1,0
TXN-040,ACC-1010,VND-1001,CC-HR-003,820.00,2025-02-17,0,0
